,V1,V2,V3,V4,Class
D1,4,3,750,16,1
D2,4,3,750,16,1
D3,4,2,500,9,2
D4,4,3,750,16,2
D5,6,3,750,14,1
D6,2,2,500,11,1
D7,2,2,500,11,2
D8,2,2,500,11,1
D9,2,7,1750,58,2
D10,4,6,1500,39,1
D11,4,11,2750,78,1
D12,2,1,250,2,2
D13,2,1,250,2,1
D14,2,1,250,2,1
D15,2,1,250,2,1
D16,2,1,250,2,1
D17,2,1,250,2,1
D18,2,1,250,2,1
D19,2,1,250,2,1
D20,2,1,250,2,1
D21,2,1,250,2,1
D22,2,1,250,2,2
D23,2,1,250,2,2
D24,2,1,250,2,2
D25,2,1,250,2,1
D26,2,1,250,2,1
D27,2,1,250,2,1
D28,2,1,250,2,1
D29,2,1,250,2,1
D30,2,1,250,2,1
D31,2,1,250,2,1
D32,2,1,250,2,1
D33,2,1,250,2,1
D34,11,10,2500,35,1
D35,11,4,1000,16,2
D36,4,5,1250,33,2
D37,4,6,1500,41,2
D38,2,3,750,22,1
D39,4,4,1000,26,2
D40,10,4,1000,16,1
D41,2,4,1000,35,1
D42,2,5,1250,16,1
D43,2,5,1250,16,2
D44,2,5,1250,16,1
D45,4,9,2250,28,2
D46,2,9,2250,36,1
D47,2,2,500,2,1
D48,2,2,500,2,1
D49,2,2,500,2,1
D50,2,2,500,2,1
D51,2,2,500,2,1
